Country,Coffee type,Year,Consumed,Continent,Year_clean
Angola,Robusta/Arabica,1990/91,1200000,Africa,1990
Bolivia,Arabica,1990/91,1500000,South America,1990
Brazil,Arabica/Robusta,1990/91,492000000,South America,1990
Burundi,Arabica/Robusta,1990/91,120000,Africa,1990
Ecuador,Arabica/Robusta,1990/91,21000000,South America,1990
Indonesia,Robusta/Arabica,1990/91,74520000,Asia,1990
Madagascar,Robusta,1990/91,21000000,Africa,1990
Malawi,Arabica,1990/91,120000,Africa,1990
Papua New Guinea,Arabica/Robusta,1990/91,180000,Oceania,1990
Paraguay,Arabica,1990/91,900000,South America,1990
Peru,Arabica,1990/91,11400000,South America,1990
Rwanda,Arabica,1990/91,60000,Africa,1990
East Timor,Arabica,1990/91,0,Asia,1990
Zimbabwe,Arabica,1990/91,480000,Africa,1990
Congo,Robusta,1990/91,180000,Africa,1990
Cuba,Arabica,1990/91,12780000,Central America,1990
Dominican Republic,Arabica/Robusta,1990/91,19200000,Central America,1990
Haiti,Arabica,1990/91,13200000,Central America,1990
Philippines,Robusta/Arabica,1990/91,43200000,Asia,1990
Tanzania,Arabica/Robusta,1990/91,240000,Africa,1990
Zambia,Arabica,1990/91,90000,Africa,1990
Cameroon,Robusta/Arabica,1990/91,4998000,Africa,1990
Central African Republic,Robusta,1990/91,1680000,Africa,1990
Colombia,Arabica,1990/91,74100000,South America,1990
Costa Rica,Arabica,1990/91,22500000,Central America,1990
Ivory Coast,Robusta,1990/91,3000000,Africa,1990
Congo,Robusta/Arabica,1990/91,12000000,Africa,1990
El Salvador,Arabica,1990/91,10800000,Central America,1990
Equatorial Guinea,Robusta,1990/91,0,Africa,1990
Ethiopia,Arabica,1990/91,72000000,Africa,1990
Gabon,Robusta,1990/91,102000,Africa,1990
Ghana,Robusta,1990/91,1020000,Africa,1990
Guatemala,Arabica/Robusta,1990/91,18000000,Central America,1990
Guinea,Robusta,1990/91,1500000,Africa,1990
Guyana,Robusta,1990/91,0,South America,1990
Honduras,Arabica,1990/91,11289240,Central America,1990
India,Robusta/Arabica,1990/91,54180000,Asia,1990
Jamaica,Arabica,1990/91,420000,Central America,1990
Kenya,Arabica,1990/91,3000000,Africa,1990
Laos,Robusta,1990/91,0,Asia,1990
Liberia,Robusta,1990/91,180000,Africa,1990
Mexico,Arabica/Robusta,1990/91,82440000,North America,1990
Nepal,Arabica,1990/91,0,Asia,1990
Nicaragua,Arabica,1990/91,2040000,Central America,1990
Nigeria,Robusta,1990/91,1650000,Africa,1990
Panama,Arabica,1990/91,3780000,Central America,1990
Sierra Leone,Robusta,1990/91,540000,Africa,1990
Sri Lanka,Robusta/Arabica,1990/91,4000020,Asia,1990
Thailand,Robusta/Arabica,1990/91,11280000,Asia,1990
Togo,Robusta,1990/91,60000,Africa,1990
Trinidad and Tobago,Robusta,1990/91,480000,Central America,1990
Uganda,Robusta/Arabica,1990/91,4200000,Africa,1990
Venezuela,Arabica,1990/91,46943400,South America,1990
Vietnam,Robusta/Arabica,1990/91,9000000,Asia,1990
Yemen,Arabica,1990/91,0,Asia,1990
Angola,Robusta/Arabica,1991/92,1800000,Africa,1991
Bolivia,Arabica,1991/92,1620000,South America,1991
Brazil,Arabica/Robusta,1991/92,510000000,South America,1991
Burundi,Arabica/Robusta,1991/92,96000,Africa,1991
Ecuador,Arabica/Robusta,1991/92,21000000,South America,1991
Indonesia,Robusta/Arabica,1991/92,76800000,Asia,1991
Madagascar,Robusta,1991/92,18000000,Africa,1991
Malawi,Arabica,1991/92,120000,Africa,1991
Papua New Guinea,Arabica/Robusta,1991/92,180000,Oceania,1991
Paraguay,Arabica,1991/92,900000,South America,1991
Peru,Arabica,1991/92,11400000,South America,1991
Rwanda,Arabica,1991/92,60000,Africa,1991
East Timor,Arabica,1991/92,0,Asia,1991
Zimbabwe,Arabica,1991/92,480000,Africa,1991
Congo,Robusta,1991/92,160020,Africa,1991
Cuba,Arabica,1991/92,12780000,Central America,1991
Dominican Republic,Arabica/Robusta,1991/92,19200000,Central America,1991
Haiti,Arabica,1991/92,19800000,Central America,1991
Philippines,Robusta/Arabica,1991/92,45000000,Asia,1991
Tanzania,Arabica/Robusta,1991/92,210000,Africa,1991
Zambia,Arabica,1991/92,90000,Africa,1991
Cameroon,Robusta/Arabica,1991/92,4999980,Africa,1991
Central African Republic,Robusta,1991/92,1680000,Africa,1991
Colombia,Arabica,1991/92,76140000,South America,1991
Costa Rica,Arabica,1991/92,22500000,Central America,1991
Ivory Coast,Robusta,1991/92,3000000,Africa,1991
Congo,Robusta/Arabica,1991/92,12000000,Africa,1991
El Salvador,Arabica,1991/92,10800000,Central America,1991
Equatorial Guinea,Robusta,1991/92,0,Africa,1991
Ethiopia,Arabica,1991/92,75840000,Africa,1991
Gabon,Robusta,1991/92,60000,Africa,1991
Ghana,Robusta,1991/92,1020000,Africa,1991
Guatemala,Arabica/Robusta,1991/92,18000000,Central America,1991
Guinea,Robusta,1991/92,1500000,Africa,1991
Guyana,Robusta,1991/92,0,South America,1991
Honduras,Arabica,1991/92,15426000,Central America,1991
India,Robusta/Arabica,1991/92,55000020,Asia,1991
Jamaica,Arabica,1991/92,660000,Central America,1991
Kenya,Arabica,1991/92,3000000,Africa,1991
Laos,Robusta,1991/92,0,Asia,1991
Liberia,Robusta,1991/92,180000,Africa,1991
Mexico,Arabica/Robusta,1991/92,72000000,North America,1991
Nepal,Arabica,1991/92,0,Asia,1991
Nicaragua,Arabica,1991/92,8280000,Central America,1991
Nigeria,Robusta,1991/92,2145000,Africa,1991
Panama,Arabica,1991/92,4020000,Central America,1991
Sierra Leone,Robusta,1991/92,540000,Africa,1991
Sri Lanka,Robusta/Arabica,1991/92,4020000,Asia,1991
Thailand,Robusta/Arabica,1991/92,13200000,Asia,1991
Togo,Robusta,1991/92,60000,Africa,1991
Trinidad and Tobago,Robusta,1991/92,690000,Central America,1991
Uganda,Robusta/Arabica,1991/92,4500000,Africa,1991
Venezuela,Arabica,1991/92,48928800,South America,1991
Vietnam,Robusta/Arabica,1991/92,13800000,Asia,1991
Yemen,Arabica,1991/92,0,Asia,1991
Angola,Robusta/Arabica,1992/93,2100000,Africa,1992
Bolivia,Arabica,1992/93,1650000,South America,1992
Brazil,Arabica/Robusta,1992/93,534000000,South America,1992
Burundi,Arabica/Robusta,1992/93,102000,Africa,1992
Ecuador,Arabica/Robusta,1992/93,21000000,South America,1992
Indonesia,Robusta/Arabica,1992/93,79140000,Asia,1992
Madagascar,Robusta,1992/93,21000000,Africa,1992
Malawi,Arabica,1992/93,120000,Africa,1992
Papua New Guinea,Arabica/Robusta,1992/93,180000,Oceania,1992
Paraguay,Arabica,1992/93,900000,South America,1992
Peru,Arabica,1992/93,12000000,South America,1992
Rwanda,Arabica,1992/93,60000,Africa,1992
East Timor,Arabica,1992/93,0,Asia,1992
Zimbabwe,Arabica,1992/93,480000,Africa,1992
Congo,Robusta,1992/93,160020,Africa,1992
Cuba,Arabica,1992/93,11700000,Central America,1992
Dominican Republic,Arabica/Robusta,1992/93,19200000,Central America,1992
Haiti,Arabica,1992/93,19800000,Central America,1992
Philippines,Robusta/Arabica,1992/93,45000000,Asia,1992
Tanzania,Arabica/Robusta,1992/93,1152000,Africa,1992
Zambia,Arabica,1992/93,85920,Africa,1992
Cameroon,Robusta/Arabica,1992/93,4999980,Africa,1992
Central African Republic,Robusta,1992/93,1680000,Africa,1992
Colombia,Arabica,1992/93,78180000,South America,1992
Costa Rica,Arabica,1992/93,22500000,Central America,1992
Ivory Coast,Robusta,1992/93,3000000,Africa,1992
Congo,Robusta/Arabica,1992/93,12000000,Africa,1992
El Salvador,Arabica,1992/93,13800000,Central America,1992
Equatorial Guinea,Robusta,1992/93,0,Africa,1992
Ethiopia,Arabica,1992/93,79860000,Africa,1992
Gabon,Robusta,1992/93,48000,Africa,1992
Ghana,Robusta,1992/93,1020000,Africa,1992
Guatemala,Arabica/Robusta,1992/93,18000000,Central America,1992
Guinea,Robusta,1992/93,3750000,Africa,1992
Guyana,Robusta,1992/93,0,South America,1992
Honduras,Arabica,1992/93,14400000,Central America,1992
India,Robusta/Arabica,1992/93,55020000,Asia,1992
Jamaica,Arabica,1992/93,360000,Central America,1992
Kenya,Arabica,1992/93,3000000,Africa,1992
Laos,Robusta,1992/93,0,Asia,1992
Liberia,Robusta,1992/93,180000,Africa,1992
Mexico,Arabica/Robusta,1992/93,78000000,North America,1992
Nepal,Arabica,1992/93,0,Asia,1992
Nicaragua,Arabica,1992/93,3936000,Central America,1992
Nigeria,Robusta,1992/93,2145000,Africa,1992
Panama,Arabica,1992/93,4020000,Central America,1992
Sierra Leone,Robusta,1992/93,540000,Africa,1992
Sri Lanka,Robusta/Arabica,1992/93,1680000,Asia,1992
Thailand,Robusta/Arabica,1992/93,13980000,Asia,1992
Togo,Robusta,1992/93,60000,Africa,1992
Trinidad and Tobago,Robusta,1992/93,600000,Central America,1992
Uganda,Robusta/Arabica,1992/93,4500000,Africa,1992
Venezuela,Arabica,1992/93,50998200,South America,1992
Vietnam,Robusta/Arabica,1992/93,15000000,Asia,1992
Yemen,Arabica,1992/93,0,Asia,1992
Angola,Robusta/Arabica,1993/94,1200000,Africa,1993
Bolivia,Arabica,1993/94,1710000,South America,1993
Brazil,Arabica/Robusta,1993/94,546000000,South America,1993
Burundi,Arabica/Robusta,1993/94,114600,Africa,1993
Ecuador,Arabica/Robusta,1993/94,21000000,South America,1993
Indonesia,Robusta/Arabica,1993/94,81540000,Asia,1993
Madagascar,Robusta,1993/94,21600000,Africa,1993
Malawi,Arabica,1993/94,120000,Africa,1993
Papua New Guinea,Arabica/Robusta,1993/94,120000,Oceania,1993
Paraguay,Arabica,1993/94,1200000,South America,1993
Peru,Arabica,1993/94,12000000,South America,1993
Rwanda,Arabica,1993/94,60000,Africa,1993
East Timor,Arabica,1993/94,0,Asia,1993
Zimbabwe,Arabica,1993/94,499980,Africa,1993
Congo,Robusta,1993/94,180000,Africa,1993
Cuba,Arabica,1993/94,11646000,Central America,1993
Dominican Republic,Arabica/Robusta,1993/94,19200000,Central America,1993
Haiti,Arabica,1993/94,19800000,Central America,1993
Philippines,Robusta/Arabica,1993/94,46200000,Asia,1993
Tanzania,Arabica/Robusta,1993/94,1050000,Africa,1993
Zambia,Arabica,1993/94,60000,Africa,1993
Cameroon,Robusta/Arabica,1993/94,6000000,Africa,1993
Central African Republic,Robusta,1993/94,1500000,Africa,1993
Colombia,Arabica,1993/94,80340000,South America,1993
Costa Rica,Arabica,1993/94,22500000,Central America,1993
Ivory Coast,Robusta,1993/94,3000000,Africa,1993
Congo,Robusta/Arabica,1993/94,12000000,Africa,1993
El Salvador,Arabica,1993/94,13800000,Central America,1993
Equatorial Guinea,Robusta,1993/94,0,Africa,1993
Ethiopia,Arabica,1993/94,84120000,Africa,1993
