Country,Year,Exported,Continent
Angola,1990,5040000,Africa
Bolivia,1990,9360000,South America
Brazil,1990,1016160000,South America
Burundi,1990,35100000,Africa
Cameroon,1990,156660000,Africa
Central African Republic,1990,11820000,Africa
Colombia,1990,836640000,South America
Congo,1990,120000,Africa
Costa Rica,1990,135960000,Central America
Ivory Coast,1990,256980000,Africa
Cuba,1990,10920000,Central America
Congo,1990,110340000,Africa
Dominican Republic,1990,32100000,Central America
Ecuador,1990,107040000,South America
El Salvador,1990,150600000,Central America
Equatorial Guinea,1990,420000,Africa
Ethiopia,1990,64440000,Africa
Gabon,1990,120000,Africa
Ghana,1990,660000,Africa
Guatemala,1990,194400000,Central America
Guinea,1990,7320000,Africa
Guyana,1990,0,South America
Haiti,1990,11460000,Central America
Honduras,1990,104100000,Central America
India,1990,118740000,Asia
Indonesia,1990,414180000,Asia
Jamaica,1990,900000,Central America
Kenya,1990,118140000,Africa
Laos,1990,5880000,Asia
Liberia,1990,1320000,Africa
Madagascar,1990,51780000,Africa
Malawi,1990,7440000,Africa
Mexico,1990,220980000,North America
Nepal,1990,0,Asia
Nicaragua,1990,40260000,Central America
Nigeria,1990,240000,Africa
Panama,1990,7920000,Central America
Papua New Guinea,1990,63060000,Oceania
Paraguay,1990,15780000,South America
Peru,1990,66300000,South America
Philippines,1990,10080000,Asia
Rwanda,1990,46740000,Africa
Sierra Leone,1990,8400000,Africa
Sri Lanka,1990,1140000,Asia
Tanzania,1990,61140000,Africa
Thailand,1990,60060000,Asia
East Timor,1990,0,Asia
Togo,1990,14340000,Africa
Trinidad and Tobago,1990,1800000,Central America
Uganda,1990,141180000,Africa
Venezuela,1990,16680000,South America
Vietnam,1990,68700000,Asia
Yemen,1990,3000000,Asia
Zambia,1990,1440000,Africa
Zimbabwe,1990,15060000,Africa
Angola,1991,4260000,Africa
Bolivia,1991,4440000,South America
Brazil,1991,1270980000,South America
Burundi,1991,41280000,Africa
Cameroon,1991,105120000,Africa
Central African Republic,1991,8460000,Africa
Colombia,1991,755940000,South America
Congo,1991,60000,Africa
Costa Rica,1991,144000000,Central America
Ivory Coast,1991,228300000,Africa
Cuba,1991,7260000,Central America
Congo,1991,85080000,Africa
Dominican Republic,1991,28560000,Central America
Ecuador,1991,84960000,South America
El Salvador,1991,128880000,Central America
Equatorial Guinea,1991,180000,Africa
Ethiopia,1991,50460000,Africa
Gabon,1991,180000,Africa
Ghana,1991,960000,Africa
Guatemala,1991,169920000,Central America
Guinea,1991,3660000,Africa
Guyana,1991,0,South America
Haiti,1991,9060000,Central America
Honduras,1991,86640000,Central America
India,1991,103620000,Asia
Indonesia,1991,370260000,Asia
Jamaica,1991,1020000,Central America
Kenya,1991,93480000,Africa
Laos,1991,5880000,Asia
Liberia,1991,0,Africa
Madagascar,1991,35280000,Africa
Malawi,1991,6000000,Africa
Mexico,1991,211860000,North America
Nepal,1991,0,Asia
Nicaragua,1991,23520000,Central America
Nigeria,1991,60000,Africa
Panama,1991,7440000,Central America
Papua New Guinea,1991,47280000,Oceania
Paraguay,1991,7200000,South America
Peru,1991,62520000,South America
Philippines,1991,6180000,Asia
Rwanda,1991,28440000,Africa
Sierra Leone,1991,6240000,Africa
Sri Lanka,1991,1320000,Asia
Tanzania,1991,52260000,Africa
Thailand,1991,32460000,Asia
East Timor,1991,0,Asia
Togo,1991,9300000,Africa
Trinidad and Tobago,1991,480000,Central America
Uganda,1991,125700000,Africa
Venezuela,1991,7680000,South America
Vietnam,1991,72060000,Asia
Yemen,1991,4320000,Asia
Zambia,1991,1740000,Africa
Zimbabwe,1991,14340000,Africa
Angola,1992,4800000,Africa
Bolivia,1992,5760000,South America
Brazil,1992,1127460000,South America
Burundi,1992,38760000,Africa
Cameroon,1992,98760000,Africa
Central African Republic,1992,6000000,Africa
Colombia,1992,993840000,South America
Congo,1992,0,Africa
Costa Rica,1992,145860000,Central America
Ivory Coast,1992,272760000,Africa
Cuba,1992,9780000,Central America
Congo,1992,57240000,Africa
Dominican Republic,1992,22140000,Central America
Ecuador,1992,76380000,South America
El Salvador,1992,127200000,Central America
Equatorial Guinea,1992,180000,Africa
Ethiopia,1992,44040000,Africa
Gabon,1992,60000,Africa
Ghana,1992,1920000,Africa
Guatemala,1992,199680000,Central America
Guinea,1992,3480000,Africa
Guyana,1992,60000,South America
Haiti,1992,9960000,Central America
Honduras,1992,117600000,Central America
India,1992,108960000,Asia
Indonesia,1992,276240000,Asia
Jamaica,1992,1320000,Central America
Kenya,1992,83040000,Africa
Laos,1992,6120000,Asia
Liberia,1992,0,Africa
Madagascar,1992,44160000,Africa
Malawi,1992,7680000,Africa
Mexico,1992,199920000,North America
Nepal,1992,0,Asia
Nicaragua,1992,38160000,Central America
Nigeria,1992,660000,Africa
Panama,1992,7500000,Central America
Papua New Guinea,1992,55020000,Oceania
Paraguay,1992,2400000,South America
Peru,1992,63660000,South America
Philippines,1992,2460000,Asia
Rwanda,1992,38700000,Africa
Sierra Leone,1992,2820000,Africa
Sri Lanka,1992,900000,Asia
Tanzania,1992,49680000,Africa
Thailand,1992,69840000,Asia
East Timor,1992,0,Asia
Togo,1992,18780000,Africa
Trinidad and Tobago,1992,120000,Central America
Uganda,1992,117660000,Africa
Venezuela,1992,8160000,South America
Vietnam,1992,116280000,Asia
Yemen,1992,2220000,Asia
Zambia,1992,1860000,Africa
Zimbabwe,1992,9720000,Africa
Angola,1993,2340000,Africa
Bolivia,1993,2820000,South America
Brazil,1993,1070280000,South America
Burundi,1993,25080000,Africa
Cameroon,1993,42300000,Africa
