Country,Year,Imported,Continent
Austria,1990,112800000,Europe
Belgium,1990,0,Europe
Luxembourg,1990,120900000,Europe
Bulgaria,1990,16080000,Europe
Croatia,1990,0,Europe
Cyprus,1990,3000000,Europe
CZ,1990,39540000,Europe
Denmark,1990,57540000,Europe
Estonia,1990,0,Europe
Finland,1990,65700000,Europe
France,1990,378060000,Europe
Germany,1990,820260000,Europe
Greece,1990,38520000,Europe
Hungary,1990,34440000,Europe
Ireland,1990,7740000,Europe
Italy,1990,314520000,Europe
Latvia,1990,0,Europe
Lithuania,1990,0,Europe
Luxembourg,1990,0,Europe
Malta,1990,1260000,Europe
Netherlands,1990,187680000,Europe
Poland,1990,26100000,Europe
Portugal,1990,33120000,Europe
Romania,1990,26520000,Europe
Slovakia,1990,0,Europe
Slovenia,1990,0,Europe
Spain,1990,183180000,Europe
Sweden,1990,106020000,Europe
Japan,1990,319800000,Asia
Norway,1990,44520000,Europe
Russian Federation,1990,0,Asia
Switzerland,1990,70260000,Europe
Tunisia,1990,6060000,Africa
United Kingdom,1990,173880000,Europe
US,1990,1260420000,North America
Austria,1991,123480000,Europe
Belgium,1991,0,Europe
Luxembourg,1991,104760000,Europe
Bulgaria,1991,12000000,Europe
Croatia,1991,0,Europe
Cyprus,1991,3240000,Europe
CZ,1991,31500000,Europe
Denmark,1991,58980000,Europe
Estonia,1991,0,Europe
Finland,1991,61980000,Europe
France,1991,393180000,Europe
Germany,1991,793740000,Europe
Greece,1991,24420000,Europe
Hungary,1991,38460000,Europe
Ireland,1991,7080000,Europe
Italy,1991,277800000,Europe
Latvia,1991,0,Europe
Lithuania,1991,0,Europe
Luxembourg,1991,0,Europe
Malta,1991,960000,Europe
Netherlands,1991,187260000,Europe
Poland,1991,15000000,Europe
Portugal,1991,33420000,Europe
Romania,1991,20100000,Europe
Slovakia,1991,0,Europe
Slovenia,1991,0,Europe
Spain,1991,178200000,Europe
Sweden,1991,103020000,Europe
Japan,1991,330600000,Asia
Norway,1991,45660000,Europe
Russian Federation,1991,0,Asia
Switzerland,1991,67800000,Europe
Tunisia,1991,5400000,Africa
United Kingdom,1991,168360000,Europe
US,1991,1190400000,North America
Austria,1992,132360000,Europe
Belgium,1992,0,Europe
Luxembourg,1992,109680000,Europe
Bulgaria,1992,10920000,Europe
Croatia,1992,10080000,Europe
Cyprus,1992,2460000,Europe
CZ,1992,28500000,Europe
Denmark,1992,63720000,Europe
Estonia,1992,960000,Europe
Finland,1992,63300000,Europe
France,1992,396720000,Europe
Germany,1992,827340000,Europe
Greece,1992,20940000,Europe
Hungary,1992,31320000,Europe
Ireland,1992,5700000,Europe
Italy,1992,275700000,Europe
Latvia,1992,1200000,Europe
Lithuania,1992,120000,Europe
Luxembourg,1992,0,Europe
Malta,1992,1080000,Europe
Netherlands,1992,192300000,Europe
Poland,1992,107220000,Europe
Portugal,1992,35460000,Europe
Romania,1992,36180000,Europe
Slovakia,1992,0,Europe
Slovenia,1992,7380000,Europe
Spain,1992,204840000,Europe
Sweden,1992,106320000,Europe
Japan,1992,319560000,Asia
Norway,1992,44340000,Europe
Russian Federation,1992,82920000,Asia
Switzerland,1992,66060000,Europe
Tunisia,1992,6660000,Africa
United Kingdom,1992,185280000,Europe
US,1992,1376340000,North America
Austria,1993,110160000,Europe
Belgium,1993,0,Europe
Luxembourg,1993,123780000,Europe
Bulgaria,1993,23820000,Europe
Croatia,1993,9780000,Europe
Cyprus,1993,4620000,Europe
CZ,1993,30840000,Europe
Denmark,1993,59640000,Europe
Estonia,1993,3060000,Europe
Finland,1993,78060000,Europe
France,1993,380040000,Europe
Germany,1993,846420000,Europe
Greece,1993,22500000,Europe
Hungary,1993,40080000,Europe
Ireland,1993,6660000,Europe
Italy,1993,335640000,Europe
Latvia,1993,3600000,Europe
Lithuania,1993,540000,Europe
Luxembourg,1993,0,Europe
Malta,1993,1380000,Europe
Netherlands,1993,168240000,Europe
Poland,1993,100200000,Europe
Portugal,1993,39960000,Europe
Romania,1993,25500000,Europe
Slovakia,1993,17280000,Europe
Slovenia,1993,9120000,Europe
Spain,1993,168780000,Europe
Sweden,1993,105420000,Europe
Japan,1993,341460000,Asia
Norway,1993,41580000,Europe
Russian Federation,1993,107700000,Asia
Switzerland,1993,63600000,Europe
Tunisia,1993,6060000,Africa
United Kingdom,1993,191820000,Europe
US,1993,1159740000,North America
Austria,1994,85020000,Europe
Belgium,1994,0,Europe
Luxembourg,1994,135720000,Europe
Bulgaria,1994,27780000,Europe
Croatia,1994,11580000,Europe
Cyprus,1994,3120000,Europe
CZ,1994,33240000,Europe
Denmark,1994,61980000,Europe
Estonia,1994,4980000,Europe
Finland,1994,81660000,Europe
France,1994,382140000,Europe
Germany,1994,814980000,Europe
Greece,1994,30120000,Europe
Hungary,1994,46260000,Europe
Ireland,1994,7860000,Europe
Italy,1994,333240000,Europe
Latvia,1994,1380000,Europe
Lithuania,1994,2820000,Europe
Luxembourg,1994,0,Europe
Malta,1994,780000,Europe
Netherlands,1994,168000000,Europe
Poland,1994,110580000,Europe
Portugal,1994,39840000,Europe
Romania,1994,20820000,Europe
Slovakia,1994,15420000,Europe
Slovenia,1994,9540000,Europe
Spain,1994,181680000,Europe
Sweden,1994,113580000,Europe
Japan,1994,373020000,Asia
Norway,1994,48360000,Europe
Russian Federation,1994,103560000,Asia
Switzerland,1994,65940000,Europe
Tunisia,1994,8220000,Africa
United Kingdom,1994,207960000,Europe
US,1994,970260000,North America
Austria,1995,73860000,Europe
Belgium,1995,0,Europe
Luxembourg,1995,144060000,Europe
Bulgaria,1995,30900000,Europe
Croatia,1995,19200000,Europe
Cyprus,1995,2640000,Europe
CZ,1995,33180000,Europe
Denmark,1995,52620000,Europe
Estonia,1995,6420000,Europe
Finland,1995,46140000,Europe
France,1995,372840000,Europe
Germany,1995,771120000,Europe
Greece,1995,31380000,Europe
Hungary,1995,31200000,Europe
Ireland,1995,6900000,Europe
Italy,1995,323280000,Europe
Latvia,1995,1800000,Europe
Lithuania,1995,6780000,Europe
Luxembourg,1995,0,Europe
Malta,1995,1380000,Europe
Netherlands,1995,174600000,Europe
Poland,1995,106260000,Europe
Portugal,1995,37980000,Europe
Romania,1995,33060000,Europe
Slovakia,1995,15000000,Europe
Slovenia,1995,8880000,Europe
Spain,1995,188760000,Europe
Sweden,1995,85200000,Europe
Japan,1995,329340000,Asia
Norway,1995,39720000,Europe
