Country,Year,Re_Exported,Continent
Austria,1990,24900000,Europe
Belgium,1990,0,Europe
Luxembourg,1990,53460000,Europe
Bulgaria,1990,9960000,Europe
Croatia,1990,0,Europe
Cyprus,1990,960000,Europe
CZ,1990,0,Europe
Denmark,1990,5640000,Europe
Estonia,1990,0,Europe
Finland,1990,1140000,Europe
France,1990,54780000,Europe
Germany,1990,197520000,Europe
Greece,1990,660000,Europe
Hungary,1990,0,Europe
Ireland,1990,600000,Europe
Italy,1990,22980000,Europe
Latvia,1990,0,Europe
Lithuania,1990,0,Europe
Luxembourg,1990,0,Europe
Malta,1990,60000,Europe
Netherlands,1990,35100000,Europe
Poland,1990,6000000,Europe
Portugal,1990,1860000,Europe
Romania,1990,0,Europe
Slovakia,1990,0,Europe
Slovenia,1990,0,Europe
Spain,1990,15900000,Europe
Sweden,1990,4620000,Europe
Japan,1990,1200000,Asia
Norway,1990,480000,Europe
Russian Federation,1990,0,Asia
Switzerland,1990,9960000,Europe
Tunisia,1990,0,Africa
United Kingdom,1990,28920000,Europe
US,1990,49500000,North America
Austria,1991,45360000,Europe
Belgium,1991,0,Europe
Luxembourg,1991,62280000,Europe
Bulgaria,1991,10980000,Europe
Croatia,1991,0,Europe
Cyprus,1991,420000,Europe
CZ,1991,0,Europe
Denmark,1991,4440000,Europe
Estonia,1991,0,Europe
Finland,1991,1260000,Europe
France,1991,60420000,Europe
Germany,1991,195120000,Europe
Greece,1991,1200000,Europe
Hungary,1991,15660000,Europe
Ireland,1991,300000,Europe
Italy,1991,24120000,Europe
Latvia,1991,0,Europe
Lithuania,1991,0,Europe
Luxembourg,1991,0,Europe
Malta,1991,180000,Europe
Netherlands,1991,37980000,Europe
Poland,1991,420000,Europe
Portugal,1991,2040000,Europe
Romania,1991,0,Europe
Slovakia,1991,0,Europe
Slovenia,1991,0,Europe
Spain,1991,16080000,Europe
Sweden,1991,6840000,Europe
Japan,1991,2040000,Asia
Norway,1991,240000,Europe
