Country,Coffee type,Year,Production,Continent,Year_clean
Angola,Robusta/Arabica,1990/91,3000000.0,Africa,1990
Bolivia,Arabica,1990/91,7380000.0,South America,1990
Brazil,Arabica/Robusta,1990/91,1637160000.0,South America,1990
Burundi,Arabica/Robusta,1990/91,29220000.0,Africa,1990
Ecuador,Arabica/Robusta,1990/91,90240000.0,South America,1990
Indonesia,Robusta/Arabica,1990/91,446460000.0,Asia,1990
Madagascar,Robusta,1990/91,58920000.0,Africa,1990
Malawi,Arabica,1990/91,6300000.0,Africa,1990
Papua New Guinea,Arabica/Robusta,1990/91,57780000.0,Oceania,1990
Paraguay,Arabica,1990/91,7860000.0,South America,1990
Peru,Arabica,1990/91,56220000.0,South America,1990
Rwanda,Arabica,1990/91,32100000.0,Africa,1990
East Timor,Arabica,1990/91,0.0,Asia,1990
Zimbabwe,Arabica,1990/91,15120000.0,Africa,1990
Congo,Robusta,1990/91,180000.0,Africa,1990
Cuba,Arabica,1990/91,24840000.0,Central America,1990
Dominican Republic,Arabica/Robusta,1990/91,52800000.0,Central America,1990
Haiti,Arabica,1990/91,23580000.0,Central America,1990
Philippines,Robusta/Arabica,1990/91,58440000.0,Asia,1990
Tanzania,Arabica/Robusta,1990/91,55920000.0,Africa,1990
Zambia,Arabica,1990/91,1380000.0,Africa,1990
Cameroon,Robusta/Arabica,1990/91,100920000.0,Africa,1990
Central African Republic,Robusta,1990/91,10500000.0,Africa,1990
Colombia,Arabica,1990/91,863760000.0,South America,1990
Costa Rica,Arabica,1990/91,153720000.0,Central America,1990
Ivory Coast,Robusta,1990/91,176400000.0,Africa,1990
Congo,Robusta/Arabica,1990/91,94800000.0,Africa,1990
El Salvador,Arabica,1990/91,147900000.0,Central America,1990
Equatorial Guinea,Robusta,1990/91,240000.0,Africa,1990
Ethiopia,Arabica,1990/91,174540000.0,Africa,1990
Gabon,Robusta,1990/91,180000.0,Africa,1990
Ghana,Robusta,1990/91,2280000.0,Africa,1990
Guatemala,Arabica/Robusta,1990/91,196260000.0,Central America,1990
Guinea,Robusta,1990/91,2640000.0,Africa,1990
Guyana,Robusta,1990/91,0.0,South America,1990
Honduras,Arabica,1990/91,94080000.0,Central America,1990
India,Robusta/Arabica,1990/91,169740000.0,Asia,1990
Jamaica,Arabica,1990/91,1380000.0,Central America,1990
Kenya,Arabica,1990/91,89100000.0,Africa,1990
Laos,Robusta,1990/91,0.0,Asia,1990
Liberia,Robusta,1990/91,180000.0,Africa,1990
Mexico,Arabica/Robusta,1990/91,280440000.0,North America,1990
Nepal,Arabica,1990/91,0.0,Asia,1990
Nicaragua,Arabica,1990/91,27660000.0,Central America,1990
Nigeria,Robusta,1990/91,1740000.0,Africa,1990
Panama,Arabica,1990/91,12900000.0,Central America,1990
Sierra Leone,Robusta,1990/91,2580000.0,Africa,1990
Sri Lanka,Robusta/Arabica,1990/91,5760000.0,Asia,1990
Thailand,Robusta/Arabica,1990/91,45420000.0,Asia,1990
Togo,Robusta,1990/91,9660000.0,Africa,1990
Trinidad and Tobago,Robusta,1990/91,900000.0,Central America,1990
Uganda,Robusta/Arabica,1990/91,117300000.0,Africa,1990
Venezuela,Arabica,1990/91,67320000.0,South America,1990
Vietnam,Robusta/Arabica,1990/91,78600000.0,Asia,1990
Yemen,Arabica,1990/91,0.0,Asia,1990
Angola,Robusta/Arabica,1991/92,4740000.0,Africa,1991
Bolivia,Arabica,1991/92,6240000.0,South America,1991
Brazil,Arabica/Robusta,1991/92,1637580000.0,South America,1991
Burundi,Arabica/Robusta,1991/92,40020000.0,Africa,1991
Ecuador,Arabica/Robusta,1991/92,127440000.0,South America,1991
Indonesia,Robusta/Arabica,1991/92,509580000.0,Asia,1991
Madagascar,Robusta,1991/92,55980000.0,Africa,1991
Malawi,Arabica,1991/92,7440000.0,Africa,1991
Papua New Guinea,Arabica/Robusta,1991/92,44820000.0,Oceania,1991
Paraguay,Arabica,1991/92,4800000.0,South America,1991
Peru,Arabica,1991/92,72000000.0,South America,1991
Rwanda,Arabica,1991/92,29040000.0,Africa,1991
East Timor,Arabica,1991/92,0.0,Asia,1991
Zimbabwe,Arabica,1991/92,12060000.0,Africa,1991
Congo,Robusta,1991/92,180000.0,Africa,1991
Cuba,Arabica,1991/92,18120000.0,Central America,1991
Dominican Republic,Arabica/Robusta,1991/92,19260000.0,Central America,1991
Haiti,Arabica,1991/92,27780000.0,Central America,1991
Philippines,Robusta/Arabica,1991/92,61080000.0,Asia,1991
Tanzania,Arabica/Robusta,1991/92,47400000.0,Africa,1991
Zambia,Arabica,1991/92,1740000.0,Africa,1991
Cameroon,Robusta/Arabica,1991/92,103560000.0,Africa,1991
Central African Republic,Robusta,1991/92,7500000.0,Africa,1991
Colombia,Arabica,1991/92,1078800000.0,South America,1991
Costa Rica,Arabica,1991/92,165600000.0,Central America,1991
Ivory Coast,Robusta,1991/92,247740000.0,Africa,1991
Congo,Robusta/Arabica,1991/92,73800000.0,Africa,1991
El Salvador,Arabica,1991/92,131880000.0,Central America,1991
Equatorial Guinea,Robusta,1991/92,180000.0,Africa,1991
Ethiopia,Arabica,1991/92,175500000.0,Africa,1991
Gabon,Robusta,1991/92,120000.0,Africa,1991
Ghana,Robusta,1991/92,4560000.0,Africa,1991
Guatemala,Arabica/Robusta,1991/92,209820000.0,Central America,1991
Guinea,Robusta,1991/92,5460000.0,Africa,1991
Guyana,Robusta,1991/92,0.0,South America,1991
Honduras,Arabica,1991/92,139320000.0,Central America,1991
India,Robusta/Arabica,1991/92,180000000.0,Asia,1991
Jamaica,Arabica,1991/92,2340000.0,Central America,1991
Kenya,Arabica,1991/92,90840000.0,Africa,1991
Laos,Robusta,1991/92,0.0,Asia,1991
Liberia,Robusta,1991/92,180000.0,Africa,1991
Mexico,Arabica/Robusta,1991/92,283620000.0,North America,1991
Nepal,Arabica,1991/92,0.0,Asia,1991
Nicaragua,Arabica,1991/92,42420000.0,Central America,1991
Nigeria,Robusta,1991/92,2640000.0,Africa,1991
Panama,Arabica,1991/92,11580000.0,Central America,1991
Sierra Leone,Robusta,1991/92,3240000.0,Africa,1991
Sri Lanka,Robusta/Arabica,1991/92,4920000.0,Asia,1991
Thailand,Robusta/Arabica,1991/92,88140000.0,Asia,1991
Togo,Robusta,1991/92,25980000.0,Africa,1991
Trinidad and Tobago,Robusta,1991/92,1080000.0,Central America,1991
Uganda,Robusta/Arabica,1991/92,125280000.0,Africa,1991
Venezuela,Arabica,1991/92,56460000.0,South America,1991
Vietnam,Robusta/Arabica,1991/92,86280000.0,Asia,1991
Yemen,Arabica,1991/92,0.0,Asia,1991
Angola,Robusta/Arabica,1992/93,4680000.0,Africa,1992
Bolivia,Arabica,1992/93,7200000.0,South America,1992
Brazil,Arabica/Robusta,1992/93,2076180000.0,South America,1992
Burundi,Arabica/Robusta,1992/93,37200000.0,Africa,1992
Ecuador,Arabica/Robusta,1992/93,71100000.0,South America,1992
Indonesia,Robusta/Arabica,1992/93,334140000.0,Asia,1992
Madagascar,Robusta,1992/93,67320000.0,Africa,1992
